GeneID,Length,logFC,logCPM,F,PValue,FDR,
AGAP003542-PA [Anopheles gambiae str. PEST] eval 2e-130,3008,-0.603761449,7.346325492,52.24250197,0.00029342,0.016409123,
,,,,,,,
sced_v2,2525,-1.359189105,7.013254015,51.99261406,0.000297433,0.016493787,
,,,,,,,
CG15097_v6,2008,-0.666025303,7.375573191,51.44977902,0.000306404,0.016849684,
,,,,,,,
drongo,4282,-0.898723841,6.142759878,51.21416414,0.000310409,0.016928859,
,,,,,,,
oys,2722,-0.607256429,7.822990927,50.83359956,0.000317026,0.017147975,
,,,,,,,
Duox,5250,-1.511526406,6.005667331,50.32447928,0.000326171,0.017499223," peroxidase activity, calcium ion binding; heme binding; NAD(P)H oxidase activity; superoxide-generating NADPH oxidase activity"
,,,,,,,
da,7614,-1.117033758,7.38880186,49.88616287,0.000334326,0.017688525,
,,,,,,,
lola_v6,2809,-0.675189649,4.699435557,49.77954821,0.00033635,0.017688525,
,,,,,,,
lbk,4211,-0.604734252,5.584483995,49.61777339,0.000339452,0.017688525,
,,,,,,,
step,3060,-0.765393765,6.516863666,49.51107365,0.000341519,0.017688525,
,,,,,,,
ClC-a,4177,-0.740898464,4.94339469,49.4299303,0.000343102,0.017688525,
,,,,,,,
Pdi,2715,-0.56135304,9.377987358,48.89741706,0.000353735,0.018095306,
,,,,,,,
wnd,4351,-0.632324018,8.166166431,48.46284434,0.000362736,0.018411667,
,,,,,,,
CG10702_v3,1275,-0.876493162,9.022295698,48.33229267,0.000365499,0.018411667,
,,,,,,,
CG9485,3639,-0.552248106,9.349131017,47.70592684,0.00037915,0.018954609,
,,,,,,,
Aac11,2540,-1.054727521,5.570718435,47.01740082,0.000394942,0.019414347,
,,,,,,,
CG14299,7462,-0.722123168,6.962026119,46.93571724,0.000396873,0.019414347,
,,,,,,,
CG5604,2646,-0.580686045,8.453191943,46.92312663,0.000397172,0.019414347,
,,,,,,,
CG13398,2819,-0.68329702,6.945297256,46.5682317,0.000405715,0.019686147,
,,,,,,,
sqd_v2,933,-0.552077135,8.984155645,46.01934918,0.000419413,0.020141081,
,,,,,,,
CG34394_v2,4340,-0.55949279,7.079739555,45.75524359,0.000426222,0.020141081,
,,,,,,,
plum_v3,674,-1.451210305,1.04291894,45.67362798,0.000428356,0.020141081,
,,,,,,,
sip3,2736,-0.600473328,7.711398906,45.65768691,0.000428774,0.020141081,
,,,,,,,
Ubqn,3273,-1.329715343,7.62429573,45.59774333,0.000430352,0.020141081,
,,,,,,,
Tom20,442,-0.737550244,8.17382849,43.75231285,0.000482928,0.022421216,
,,,,,,,
cic_v4,4440,-0.574857457,7.836367996,43.65704464,0.000485867,0.022421216,
,,,,,,,
CG9853,1418,-0.597438789,6.087737468,43.45523412,0.000492171,0.022480753,
,,,,,,,
MAN1,3187,-1.430664189,7.371259158,43.39826042,0.00049397,0.022480753,
,,,,,,,
Tom70,2831,-0.993876038,8.081462261,42.61821632,0.000519502,0.023480778,
,,,,,,,
CG31646 eval 1e-10,770,-1.746886497,2.693342082,42.40636875,0.000526736,0.023645772,Immunoglobulin-like domain
,,,,,,,
tkv,3266,-1.292487478,5.965767364,42.2227137,0.000533115,0.023770428,
,,,,,,,
cic_v2,1393,-0.549006345,7.280262929,41.92389136,0.000543713,0.024080305,
,,,,,,,
smid,805,-0.65238173,6.544033716,41.65634525,0.00055344,0.024234038,
,,,,,,,
shep,4077,-0.630807344,6.135195201,41.6267746,0.000554529,0.024234038,
,,,,,,,
plum_v2,1117,-1.338593491,1.372023093,41.47476929,0.000560173,0.024319608,
,,,,,,,
Sec22,1656,-0.72414735,6.528010488,41.05345328,0.000576216,0.024852623,
,,,,,,,
FBgn0003023 eval 6e-04,1617,-0.588746836,10.21443968,40.82595819,0.000585132,0.025073282,
,,,,,,,
CG30122,3524,-0.855506172,8.352757819,40.47821978,0.000599115,0.025459016,
,,,,,,,
CG5604_v2,6988,-0.575609352,10.02311158,40.3000335,0.000606452,0.025459016,
,,,,,,,
CG3632_v2,1556,-1.408722062,6.284558758,40.21014618,0.000610197,0.025459016,
,,,,,,,
CG30389,5909,-0.732138758,7.864148637,40.19486926,0.000610837,0.025459016,
,,,,,,,
CG43783,4667,-0.575395203,8.126425689,40.13330892,0.000613424,0.025459016,
,,,,,,,
cic_v3,618,-0.52508584,6.247503662,39.68352756,0.000632769,0.026097755,
,,,,,,,
CG5199,1461,-0.501100602,7.245508072,39.44904944,0.000643174,0.026362125,
,,,,,,,
Syngr,3423,-0.57985397,5.869144043,38.88022498,0.000669371,0.027215971,
,,,,,,,
FBgn0039027 eval 0.007,776,-1.436535306,0.814822856,38.81941654,0.000672254,0.027215971,
,,,,,,,
CG8184,10490,-0.679383633,9.710296397,38.72384921,0.000676819,0.027233692,
,,,,,,,
mub,918,-0.51065224,7.212921665,38.28136219,0.000698495,0.027935576,
,,,,,,,
CG3632_v3,3114,-1.093384612,8.126598349,38.04195551,0.000710606,0.028248742,
,,,,,,,
Glut4EF,1766,-1.020286501,2.649390578,37.45180941,0.000741668,0.029306993,
,,,,,,,
mub_v3,2188,-0.518675623,6.730349246,37.27780416,0.000751168,0.029505698,
,,,,,,,
CG31731,5165,-0.504183583,6.902716751,37.03300172,0.000764807,0.029723562,
,,,,,,,
Xbp1,1575,-0.638496026,5.969645009,37.01676664,0.000765723,0.029723562,
,,,,,,,
GAA1,2150,-0.570646932,6.407285978,36.79106201,0.000778609,0.030047038,
,,,,,,,
Fdxh,724,-0.614971464,4.175497441,36.50212478,0.000795527,0.030521426,
,,,,,,,
Drak,4064,-0.58203458,8.035943137,35.48480063,0.000859104,0.032770111,
,,,,,,,
cic,983,-0.522483701,6.827948794,35.38554081,0.000865662,0.032830475,
,,,,,,,
CG9485_v2,1539,-0.521424354,7.596560118,35.00372577,0.000891511,0.033462036,
,,,,,,,
CG4562_v3,6077,-0.630962441,8.710181822,34.99004759,0.000892456,0.033462036,
,,,,,,,
Gyc76C,7867,-2.02446978,8.476354651,34.82427362,0.000904013,0.033614259,"Guanylyl cyclase at 76C (Gyc76C) encodes a membrane-associated guanylate cyclase that catalyzes the conversion of GTP to the second messenger cGMP. It has roles in embryonic development (epithelia and muscle), axonal guidance, Malpighian tubule function, innate immunity and salt stress tolerance. [Date last reviewed: 2019-03-07]"
,,,,,,,
btsz,8697,-0.967837972,7.610269294,34.78607726,0.000906704,0.033614259,
,,,,,,,
tweek_v2,14942,-1.033742531,7.486135228,34.65202888,0.000916231,0.033777703,
,,,,,,,
CG43867,2867,-0.879308716,3.165115131,34.49157029,0.00092781,0.034014549,
,,,,,,,
Cbs_v2,1837,-0.739202461,5.60971743,34.30882759,0.000941234,0.034126019,
,,,,,,,
CG32809_v2,5384,-0.622722297,5.878126378,34.30786623,0.000941305,0.034126019,
,,,,,,,
CG4080,4347,-0.500933324,7.718957371,34.17982737,0.000950864,0.034126019,
,,,,,,,
Hexo2,2363,-0.527963252,7.556435303,34.17089176,0.000951536,0.034126019,
,,,,,,,
CG32113,12999,-1.147844431,7.471586436,33.9261387,0.000970187,0.034565477,
,,,,,,,
LBR,3746,-0.678628339,7.036450698,33.87343555,0.000974266,0.034565477,
,,,,,,,
l(2)k05819,4410,-0.692659311,7.188231192,33.68946643,0.000988683,0.034889404,
,,,,,,,
CG3964,3372,-0.548147201,8.10242011,33.56386635,0.000998688,0.035055017,
,,,,,,,
otu,1338,-0.630647691,9.26289599,33.2498382,0.001024295,0.035670352,
,,,,,,,
Ugt,4822,-0.508962127,8.003476878,33.13894517,0.001033545,0.035670352,
,,,,,,,
Grip84,2730,-0.488211782,7.543852299,33.10305709,0.001036562,0.035670352,
,,,,,,,
FBgn0041092 eval 1e-08,595,-0.628773668,5.21158639,33.02536286,0.001043134,0.035670352,
,,,,,,,
CG6966,3884,-0.646166152,7.128545976,33.02404331,0.001043246,0.035670352,
,,,,,,,
smid_v2,2808,-0.644009805,9.094198117,32.89124308,0.001054608,0.035872973,
,,,,,,,
Past1,3109,-0.511150406,7.336259321,32.39541117,0.001098503,0.037054472,
,,,,,,,
CG42748_v2,1800,-0.585517809,6.674231668,32.37268963,0.001100572,0.037054472,
,,,,,,,
aPKC,5355,-0.50215103,7.339084434,32.25545958,0.001111329,0.037226686,
,,,,,,,
Gcn2,4925,-0.530340058,9.530268887,32.19180103,0.001117228,0.037235279,
,,,,,,,
CG33116,2190,-0.771122346,6.693922868,32.06483992,0.001129117,0.037442424,
,,,,,,,
CG3409,6572,-0.553874674,7.642812951,31.57586364,0.0011765,0.038753547,
,,,,,,,
CG8417,1402,-0.531933356,6.207314826,31.53676868,0.001180401,0.038753547,
,,,,,,,
Drp1_v2,1185,-1.090020822,7.543208817,31.13680649,0.001221308,0.039898063,
,,,,,,,
CG18012,1550,-0.541550651,7.597732769,31.01846615,0.001233769,0.039951873,
,,,,,,,
crc,712,-0.545823981,6.336359942,30.99829029,0.001235911,0.039951873,
,,,,,,,
Drp1,1451,-1.052183167,7.735935613,30.94942252,0.001241117,0.039951873,
,,,,,,,
CG10492_v2,2030,-0.485011989,8.160793101,30.51854996,0.001288305,0.041269549,
,,,,,,,
yps,1772,-0.449346161,9.727890262,30.44862257,0.001296186,0.041321405,
,,,,,,,
clu,5492,-0.498418905,8.806497517,30.24598699,0.001319385,0.04185875,
,,,,,,,
Sec16,6535,-0.677044165,8.621040943,30.12397641,0.001333618,0.041956494,
,,,,,,,
KdelR_v2,5670,-0.510458423,7.769278361,30.11067869,0.001335182,0.041956494,
,,,,,,,
MTF-1,4083,-0.619282545,4.742486578,29.75308043,0.001378151,0.042962461,
,,,,,,,
mahj,6116,-0.660065741,7.861838317,29.70420991,0.001384164,0.042962461,
,,,,,,,
ClC-c,3381,-0.656799186,7.569500865,29.68347497,0.001386726,0.042962461,
,,,,,,,
Tdrd3,3181,-0.5695822,7.497973966,29.52447208,0.001406581,0.043373959,
,,,,,,,
CG31729,5132,-0.754870012,8.081040455,29.45088124,0.001415897,0.043458174,
,,,,,,,
CG5989,1448,-0.461863032,5.542819834,29.38816824,0.001423901,0.043501504,
,,,,,,,
B52,1331,-0.486166831,7.40641011,29.18071133,0.001450808,0.044119274,
,,,,,,,
CG4562_v5,4638,-0.562231264,4.230207793,29.03662095,0.001469893,0.044494593,
,,,,,,,
pasha,2632,-0.492421869,5.116814089,28.5268043,0.00154014,0.046408146,
,,,,,,,
CG42748,3034,-0.525768037,7.794994224,28.34061184,0.001566899,0.046999862,
,,,,,,,
CG15744,5483,-0.513444116,5.847405008,27.94082181,0.001626467,0.048565851,
,,,,,,,
CG44774,4769,-0.538566548,8.195827891,27.82045645,0.001644985,0.04889755,
,,,,,,,
B52_v2,464,-0.465045719,5.57437193,27.75424783,0.00165529,0.048983228,
,,,,,,,
CG12290,2743,-0.491224219,4.65023762,27.68594087,0.001666011,0.0490804,
,,,,,,,
CG1317,4099,-0.644735978,9.131040933,27.38208637,0.001714831,0.050294097,
,,,,,,,
Ptp10D_v2,4163,-1.615046841,3.932052427,27.29702245,0.001728836,0.050480489,Protein tyrosine phosphatase 10D (Ptp10D) encodes a transmembrane receptor tyrosine phosphatase closely related to the product of Ptp4E. Ptp4E-Ptp10D double mutants have lethal respiratory defects. Ptp10D-Ptp69D double mutants have a strong phenotype in w
,,,,,,,
LRP1_v5,6149,-0.598161472,3.772737526,27.12633607,0.001757397,0.050976233,
,,,,,,,
OstStt3,3503,-0.441220993,7.816851936,27.08684402,0.001764094,0.050976233,
,,,,,,,
Ctr1A,2891,-0.456409054,6.8144598,27.05810265,0.001768989,0.050976233,
,,,,,,,
